[2025-02-08 14:49:02,047] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.1461, 'grad_norm': 11.000349998474121, 'learning_rate': 7.403001464128844e-06, 'epoch': 0.33}
{'loss': 1.1685, 'grad_norm': 11.21900749206543, 'learning_rate': 7.384699853587116e-06, 'epoch': 0.34}
{'loss': 1.0999, 'grad_norm': 10.277556419372559, 'learning_rate': 7.366398243045388e-06, 'epoch': 0.34}
{'loss': 1.1511, 'grad_norm': 11.089824676513672, 'learning_rate': 7.348096632503661e-06, 'epoch': 0.34}
{'loss': 1.0886, 'grad_norm': 11.951014518737793, 'learning_rate': 7.329795021961933e-06, 'epoch': 0.34}
{'loss': 1.1234, 'grad_norm': 10.328803062438965, 'learning_rate': 7.3114934114202056e-06, 'epoch': 0.34}
{'loss': 1.1663, 'grad_norm': 10.984667778015137, 'learning_rate': 7.293191800878477e-06, 'epoch': 0.34}
{'loss': 1.1367, 'grad_norm': 9.960594177246094, 'learning_rate': 7.27489019033675e-06, 'epoch': 0.35}
{'loss': 1.1122, 'grad_norm': 11.467439651489258, 'learning_rate': 7.256588579795023e-06, 'epoch': 0.35}
{'loss': 1.0989, 'grad_norm': 10.571377754211426, 'learning_rate': 7.238286969253295e-06, 'epoch': 0.35}
{'loss': 1.1237, 'grad_norm': 9.745675086975098, 'learning_rate': 7.219985358711568e-06, 'epoch': 0.35}
{'loss': 1.0502, 'grad_norm': 11.615842819213867, 'learning_rate': 7.20168374816984e-06, 'epoch': 0.35}
{'loss': 1.0994, 'grad_norm': 11.09664535522461, 'learning_rate': 7.183382137628112e-06, 'epoch': 0.35}
{'loss': 1.0185, 'grad_norm': 9.656193733215332, 'learning_rate': 7.165080527086384e-06, 'epoch': 0.36}
{'loss': 1.0985, 'grad_norm': 10.836702346801758, 'learning_rate': 7.146778916544657e-06, 'epoch': 0.36}
{'loss': 1.1014, 'grad_norm': 12.041419982910156, 'learning_rate': 7.128477306002929e-06, 'epoch': 0.36}
{'loss': 1.0265, 'grad_norm': 10.604232788085938, 'learning_rate': 7.110175695461201e-06, 'epoch': 0.36}
{'loss': 1.0713, 'grad_norm': 11.634505271911621, 'learning_rate': 7.091874084919473e-06, 'epoch': 0.36}
{'loss': 1.0426, 'grad_norm': 11.1904296875, 'learning_rate': 7.073572474377746e-06, 'epoch': 0.36}
{'loss': 1.1191, 'grad_norm': 10.896263122558594, 'learning_rate': 7.055270863836018e-06, 'epoch': 0.37}
{'loss': 1.1035, 'grad_norm': 10.441389083862305, 'learning_rate': 7.0369692532942905e-06, 'epoch': 0.37}
{'loss': 1.0918, 'grad_norm': 10.316906929016113, 'learning_rate': 7.018667642752562e-06, 'epoch': 0.37}
{'loss': 1.1132, 'grad_norm': 10.623629570007324, 'learning_rate': 7.0003660322108345e-06, 'epoch': 0.37}
{'loss': 1.1383, 'grad_norm': 10.221906661987305, 'learning_rate': 6.982064421669107e-06, 'epoch': 0.37}
{'loss': 1.1681, 'grad_norm': 9.908186912536621, 'learning_rate': 6.96376281112738e-06, 'epoch': 0.37}
